Project_ID,Project_Type,Land_Area_Acres,Owners,Disputes,Objections,Pending_Documents,Pending_Approvals,Compensation_Pending,Current_Stage,Days_in_Current_Stage,Total_Days,Previous_Delays,Land_Record_Complexity,Target_Delayed
P0233,Railway,84.9,17,2,2,1,4,8,Notification,51,103,0,Low,1
P0234,Railway,137.4,17,4,2,2,0,4,Compensation,17,215,2,High,1
P0235,Highway,166.3,12,3,4,0,3,7,Notification,62,37,1,Low,1
P0236,Dam,66.5,13,0,3,5,0,4,Valuation,70,144,0,Medium,0
P0237,Highway,55.1,11,1,4,5,2,8,Approval,29,168,1,Low,1
P0238,Highway,199.9,11,0,6,6,1,5,Compensation,57,92,1,High,1
P0239,Airport,177.7,10,1,2,0,1,7,Notification,17,204,1,Medium,1
P0240,Highway,316.5,12,3,5,2,1,5,Compensation,54,168,1,High,1
P0241,Industrial,167.9,11,0,1,3,1,9,Objection,33,127,0,Medium,0
P0242,Industrial,211.1,12,3,4,2,1,8,Valuation,9,131,1,Medium,1
P0243,Industrial,102.2,15,2,2,5,0,3,Notification,15,19,1,High,1
P0244,Railway,104.8,9,2,5,3,4,4,Approval,56,49,0,Low,1
P0245,Highway,70.9,10,1,2,5,1,9,Compensation,15,286,0,Medium,1
P0246,Industrial,102.8,13,2,4,2,0,4,Approval,22,173,1,Low,1
P0247,Railway,131.7,9,1,2,1,1,1,Compensation,12,224,2,Medium,1
P0248,Industrial,299.7,12,1,6,4,1,2,Notification,54,28,1,High,1
P0249,Industrial,93.7,18,6,2,1,1,7,Valuation,39,39,1,High,1
P0250,Industrial,446,12,2,0,3,0,4,Verification,54,232,0,Low,1
P0251,Highway,221.3,14,1,2,0,1,9,Notification,29,268,0,Low,0
P0252,Railway,197.1,10,2,3,2,2,11,Approval,36,217,2,Low,1
P0253,Industrial,160.6,8,0,2,1,3,5,Verification,64,115,1,Low,1
P0254,Highway,143.9,12,0,4,6,1,8,Valuation,18,243,1,Low,1
P0255,Highway,112.1,12,2,2,2,0,5,Approval,61,213,1,Low,1
P0256,Railway,64.8,14,2,2,3,1,7,Valuation,23,192,0,High,1
P0257,Industrial,95.7,16,1,4,3,1,3,Compensation,18,290,1,Medium,1
P0258,Airport,358.6,13,0,1,0,1,5,Notification,15,144,1,Medium,1
P0259,Railway,213.9,15,1,1,0,1,6,Valuation,35,293,1,Medium,1
P0260,Highway,356.9,18,1,4,1,0,6,Approval,56,155,0,Medium,1
P0261,Airport,110.4,13,0,3,0,0,5,Notification,71,27,0,High,1
P0262,Industrial,83.1,12,1,8,2,0,10,Approval,29,231,3,Medium,1
P0263,Highway,159.7,16,0,1,2,2,9,Approval,54,200,0,Low,1
P0264,Railway,97.8,10,1,4,5,0,6,Verification,67,41,1,Medium,1
P0265,Industrial,178.7,19,0,2,1,2,7,Objection,46,232,1,High,1
P0266,Dam,56.6,12,5,2,3,2,1,Valuation,32,28,2,Low,1
P0267,Airport,40.6,18,4,3,1,3,3,Valuation,25,156,1,Medium,1
P0268,Dam,192.9,10,3,4,5,1,3,Verification,18,69,2,Low,0
P0269,Railway,364,12,1,3,0,4,14,Compensation,57,205,0,Low,1
P0270,Highway,197.6,12,1,4,2,0,4,Valuation,20,299,0,High,1
P0271,Dam,212.7,9,0,5,1,1,6,Verification,19,103,0,Low,0
P0272,Dam,163.6,16,1,5,2,1,7,Valuation,54,59,1,Low,1
P0273,Industrial,172.4,9,3,2,2,2,4,Valuation,47,146,1,Low,1
P0274,Industrial,62.8,10,2,5,1,0,5,Approval,58,80,1,High,1
P0275,Railway,100,12,0,3,1,3,2,Verification,56,293,0,Low,1
P0276,Railway,298.1,6,1,5,4,0,7,Compensation,11,162,2,High,1
P0277,Dam,78.8,12,3,3,4,1,6,Valuation,19,159,1,Low,1
P0278,Airport,130,9,2,6,2,2,6,Compensation,29,20,0,High,1
P0279,Dam,294.8,18,1,1,0,1,10,Objection,39,96,1,High,1
P0280,Dam,169.8,10,2,1,1,2,6,Verification,24,137,1,Low,1
P0281,Industrial,174.6,10,1,4,6,1,7,Verification,74,181,0,Low,1
P0282,Highway,130.6,17,2,3,1,1,7,Verification,69,251,1,Low,1
P0283,Railway,229.9,9,2,7,5,2,5,Approval,40,119,1,Medium,1
P0284,Highway,260.5,11,0,2,1,0,8,Verification,74,252,2,Low,1
P0285,Railway,96.8,10,2,0,5,1,6,Approval,46,96,1,Low,1
P0286,Highway,66.6,16,1,2,3,2,8,Objection,38,108,0,Low,0
P0287,Railway,45.8,14,1,3,1,0,5,Notification,27,299,0,Low,0
P0288,Railway,207.2,11,2,2,1,0,6,Approval,44,80,0,Low,0
P0289,Highway,194.4,14,1,3,3,1,5,Valuation,15,126,1,High,1
P0290,Railway,513.8,12,1,3,5,1,7,Verification,58,185,1,High,1
P0291,Highway,164.1,14,0,1,2,6,6,Notification,53,261,1,Low,1
P0292,Highway,148,14,1,4,1,0,2,Approval,52,80,1,Medium,0
P0293,Dam,182,10,2,4,0,0,4,Compensation,54,82,3,Medium,1
P0294,Railway,187.5,8,1,4,2,2,5,Compensation,35,48,0,Medium,1
P0295,Highway,141.5,17,3,3,6,3,6,Valuation,27,15,1,Medium,1
P0296,Railway,98.7,15,2,2,1,2,8,Notification,60,165,0,Medium,1
P0297,Dam,159.2,14,0,2,4,1,9,Objection,42,286,1,Medium,1
P0298,Highway,155.8,14,0,2,4,0,8,Approval,40,272,0,Medium,1
P0299,Airport,154.4,10,2,0,1,3,6,Compensation,5,252,1,Low,0
P0300,Highway,243.1,10,3,4,1,1,4,Compensation,18,130,0,Low,0
P0301,Highway,157.6,10,0,2,1,0,11,Approval,4,90,1,Low,0
P0302,Railway,67.6,16,2,4,2,1,5,Compensation,25,297,1,Medium,1
P0303,Railway,108.5,6,2,2,4,0,12,Objection,32,33,1,Low,1
P0304,Airport,140.5,14,2,7,4,1,8,Compensation,12,298,0,Medium,1
P0305,Dam,161.8,11,0,5,2,3,4,Approval,67,49,0,Low,1
P0306,Industrial,209.6,19,2,3,3,1,2,Verification,24,255,0,High,1
P0307,Railway,162.5,13,2,1,2,2,5,Compensation,54,21,1,Low,0
P0308,Highway,41.2,7,0,4,2,2,8,Approval,58,51,2,Medium,1
P0309,Dam,72.6,12,0,1,4,1,3,Verification,35,167,0,Medium,1
P0310,Highway,217.4,9,1,2,1,0,5,Compensation,32,259,0,Low,0
P0311,Railway,138.3,14,1,2,1,1,10,Compensation,26,264,2,Low,1
P0312,Highway,170.4,13,1,4,1,2,3,Approval,7,129,0,High,1
P0313,Highway,128.4,7,1,5,3,1,3,Valuation,55,55,2,Low,1
P0314,Industrial,108.2,12,2,2,2,0,8,Valuation,57,76,1,High,1
P0315,Dam,131.1,15,3,2,6,0,1,Notification,25,183,0,High,1
P0316,Airport,171.6,13,1,2,2,1,9,Valuation,12,156,1,Medium,1
P0317,Railway,156.9,18,3,3,2,1,7,Objection,35,272,1,Medium,1
P0318,Highway,259.5,15,2,4,3,2,2,Notification,64,102,0,Medium,1
P0319,Highway,59.6,20,3,1,3,1,8,Valuation,29,62,2,Medium,1
P0320,Highway,65,10,2,4,1,0,6,Verification,9,26,0,High,0
P0321,Railway,137.4,14,4,5,2,1,7,Approval,29,225,1,Low,1
P0322,Dam,210.9,11,2,1,2,0,9,Valuation,12,258,0,Low,1
P0323,Airport,236,14,1,2,5,0,8,Verification,59,253,0,Low,1
P0324,Highway,110.7,8,1,3,3,1,9,Notification,32,211,0,Medium,1
P0325,Industrial,25.3,15,0,1,3,0,5,Approval,5,271,0,Low,0
P0326,Dam,112.9,12,1,3,2,1,8,Valuation,31,249,0,High,1
P0327,Railway,194.7,16,1,4,4,2,7,Notification,16,201,0,Low,1
P0328,Airport,155.3,11,3,4,0,3,9,Valuation,27,215,1,High,1
P0329,Railway,215.1,14,1,3,1,3,5,Notification,12,117,2,Low,1
P0330,Highway,292.5,7,0,5,3,0,7,Valuation,51,235,1,Low,1
P0331,Railway,142.9,12,2,1,2,2,3,Verification,40,201,1,Low,1
P0332,Dam,120.3,12,0,4,2,3,8,Objection,73,113,1,Low,1
P0333,Highway,90.7,7,0,2,4,2,5,Verification,16,259,0,Medium,1
P0334,Highway,64.7,8,2,1,0,1,6,Approval,32,36,0,High,1
P0335,Highway,54.2,13,2,4,6,1,7,Valuation,42,82,1,Low,1
P0336,Highway,104.4,17,1,3,1,0,5,Objection,14,79,0,Medium,0
P0337,Industrial,271.3,11,1,2,3,2,9,Objection,16,231,1,Low,1
P0338,Dam,226.4,15,0,2,2,0,6,Approval,3,43,0,Low,0
P0339,Railway,117.1,11,1,1,1,1,6,Approval,70,207,0,Medium,1
P0340,Highway,448.3,14,1,2,1,1,7,Objection,51,70,1,Low,1
P0341,Railway,108.7,14,1,4,1,2,6,Approval,20,226,3,High,1
P0342,Railway,307.4,15,4,4,2,0,3,Approval,38,252,0,Medium,1
P0343,Highway,346.4,18,2,6,0,3,8,Valuation,66,214,0,Low,1
P0344,Railway,202,15,2,1,0,1,9,Verification,30,192,2,Medium,1
P0345,Railway,103.8,9,1,4,4,0,11,Compensation,34,167,2,Low,1
P0346,Airport,126.2,11,5,0,3,0,2,Notification,74,58,0,Medium,1
P0347,Airport,173.9,14,1,2,2,1,3,Objection,27,182,0,High,0
P0348,Highway,65.9,9,3,2,0,4,6,Notification,49,211,0,High,1
P0349,Railway,85.6,22,1,2,2,1,4,Objection,22,88,2,Low,0
